index,nuclear,solar,wind,coal
2000,2580.7,1.1,31.4,5991.9
2001,2653.5,1.4,38.4,6071.6
2002,2695.9,1.8,52.4,6323.0
2003,2641.3,2.3,63.3,6768.4
2004,2761.4,3.0,85.6,6989.4
2005,2768.6,4.2,104.6,7361.1
2006,2803.1,5.8,133.5,7763.0
2007,2746.0,7.8,171.5,8253.8
2008,2737.5,12.7,221.4,8270.2
2009,2698.7,21.1,276.8,8118.1
2010,2768.3,33.9,346.4,8639.9
2011,2652.4,65.6,440.7,9083.9
2012,2470.5,101.5,530.5,9114.4
2013,2490.3,138.6,635.5,9583.6
2014,2541.1,197.3,705.9,9761.9
2015,2575.3,256.0,831.4,9414.4
2016,2613.7,328.4,962.1,9435.7
2017,2637.0,445.5,1141.5,9722.0
2018,2700.2,575.8,1269.5,10102.5
2019,2795.8,705.2,1420.6,9871.5
2020,2689.0,854.4,1594.0,9472.2
2021,2802.5,1059.3,1854.1,10211.1
2022,2679.0,1322.6,2104.8,10317.2
