index,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2022,2012-22,2022
,,,,,,,,,,,,,,,,,,,,,,,,,,
,^,^,^,^,^,^,^,^,^,"0,1","0,3","0,6","0,9","1,5","2,1","2,9","4,0","3,6","3,8","4,1","4,3","5,2","6,0","16,4%","21,2%","0,5%"
,^,^,^,^,^,^,^,^,^,^,^,^,"0,1","0,1","0,2","0,2","0,3","1,2","3,2","10,0","15,8","20,2","19,3","--4,6%","75,6%","1,5%"
,"0,5","0,6","0,6","0,6","0,7","0,7","0,8","1,1","1,6","2,1","3,0","4,7","9,0","16,0","29,2","39,4","55,4","78,1","94,3","108,0","132,0","166,1","206,2","24,1%","36,7%","15,6%"
,"0,5","0,6","0,6","0,6","0,7","0,8","0,9","1,1","1,7","2,2","3,3","5,4","10,0","17,6","31,6","42,5","59,7","82,8","101,3","122,0","152,2","191,4","231,5","20,9%","36,9%","17,5%"
,,,,,,,,,,,,,,,,,,,,,,,,,,
,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,"0,1","0,8","1,3","2,2","2,9","33,4%","80,1%","0,2%"
,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,"0,1","0,1","0,8","3,5","6,7","10,7","16,8","30,1","79,8%","167,3%","2,3%"
,-,-,-,-,-,-,-,-,-,-,-,-,^,^,"0,5","1,4","2,6","3,9","5,1","6,3","7,6","10,8","14,5","34,5%","190,3%","1,1%"
,^,^,^,^,^,^,-,-,-,-,-,-,-,-,-,-,-,^,^,"0,1","0,2","0,3","0,5","55,6%",-,♦
,-,-,-,-,-,^,^,^,^,^,-,^,^,^,^,^,^,^,^,^,^,^,^,"4,4%","61,2%",♦
,-,-,-,-,-,-,-,-,-,-,-,-,"0,1","0,2","0,2","0,2","0,2","0,3","0,8","0,8","0,9","0,9","0,9","2,5%","31,2%","0,1%"
,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,♦,"2,3%",♦
,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,♦,"--23,4%",♦
,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,"0,6","1,2","1,5","1,8","2,2","2,6","3,0","3,0","--2,6%","107,0%","0,2%"
,^,^,^,^,^,^,^,^,^,^,^,"0,1","0,2","0,2","0,3","0,4","0,5","0,7","0,8","1,2","1,3","1,7","1,9","15,0%","25,2%","0,1%"
,^,^,^,^,^,^,^,^,^,^,^,^,"0,1",^,"0,1","0,1","0,2","0,3","0,6","0,7","0,8","0,9","0,9","1,5%","32,9%","0,1%"
,^,^,^,^,^,^,^,^,^,^,"0,1","0,1","0,3","0,5","1,1","2,9","4,9","7,6","12,8","18,8","25,5","36,6","54,8","49,8%","66,3%","4,1%"
,,,,,,,,,,,,,,,,,,,,,,,,,,
,^,^,^,^,^,^,^,^,^,^,"0,1","0,2","0,3","0,6","0,8","0,9","1,1","1,3","1,5","1,7","2,0","2,8","3,2","15,7%","25,3%","0,2%"
,-,-,-,-,^,^,^,^,^,"0,2","0,6","1,2","2,1","2,6","2,9","3,1","3,1","3,3","3,9","4,3","5,1","5,6","6,8","20,5%","12,2%","0,5%"
,-,-,-,-,-,-,-,-,-,^,^,"0,1","0,8","1,4","1,3","1,4","1,4","1,4","1,3","1,4","1,5","1,5","2,0","36,6%","9,4%","0,2%"
,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,"0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,2","8,4%","52,3%",♦
,-,-,-,-,^,^,^,^,^,^,^,^,^,^,"0,1","0,1","0,1","0,2","0,2","0,2","0,3","0,5","0,6","36,8%","40,1%",♦
,-,-,-,-,^,^,^,^,^,"0,1","0,6","2,2","2,1","2,0","2,1","2,3","2,1","2,2","2,3","2,3","2,2","2,2","2,3","6,6%","0,7%","0,2%"
,^,^,^,^,^,^,^,^,^,^,^,^,"0,1","0,5","0,6","0,6","0,7","0,8","1,0","1,0","1,2","1,3","1,9","48,1%","34,0%","0,1%"
,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,"0,1","0,1","0,4","0,6","67,3%","113,6%",♦
,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,"0,1","0,1","0,2","0,3","0,3","5,8%","49,2%",♦
,^,^,^,^,^,^,^,^,^,"0,2","0,6","2,1","4,0","4,7","5,9","7,3","8,2","9,1","10,4","11,8","13,0","15,3","20,1","32,0%","17,5%","1,5%"
,-,"0,1","0,2","0,3","0,6","1,3","2,3","3,1","4,5","6,7","12,0","20,0","26,7","30,6","35,4","38,1","37,6","38,8","44,3","45,2","49,5","49,3","60,8","23,2%","8,6%","4,6%"
,-,-,-,-,^,^,^,^,^,^,"0,2","0,6","1,7","3,6","3,8","3,9","3,9","4,0","3,8","4,4","4,4","5,3","7,2","36,2%","15,5%","0,5%"
,-,-,-,-,-,-,-,-,^,^,^,^,^,^,"0,1","0,1","0,2","0,3","0,6","1,5","2,5","3,8","4,6","22,5%","89,0%","0,4%"
,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,♦
,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,"0,1","0,1","0,1","45,8%","70,7%",♦
,^,^,^,^,^,^,^,^,"0,2","0,7","1,9","10,8","18,9","21,6","22,3","22,9","22,1","24,4","22,7","23,7","24,9","25,0","27,5","9,9%","3,9%","2,1%"
,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,♦,"42,3%",♦
,-,-,-,-,-,-,-,-,-,-,-,^,^,^,"0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,2","0,2","8,2%","56,8%",♦
,^,^,^,^,^,^,^,^,^,^,^,^,^,"0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,2","0,2","0,2","20,2%","18,9%",♦
,^,^,^,^,^,^,^,^,^,^,"0,1","0,1","0,3","0,5","0,8","1,1","1,6","2,2","3,7","5,4","8,6","11,5","17,7","53,8%","52,9%","1,3%"
,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,"31,0%","27,9%",♦
,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,"0,1","0,1","0,1","0,2","0,3","56,5%","40,8%",♦
,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,"0,1","0,1","0,2","0,3","0,7","2,0","3,9","8,1","106,8%","143,7%","0,6%"
,^,^,^,^,^,^,^,^,^,"0,2","0,2","0,3","0,4","0,5","0,6","0,8","0,8","1,0","1,0","1,3","1,7","2,2","3,1","37,6%","22,9%","0,2%"
,-,-,-,-,-,-,-,-,-,^,^,^,^,"0,4","1,3","2,0","1,8","1,9","1,8","1,8","1,7","1,7","1,8","4,1%","71,6%","0,1%"
,-,-,-,-,-,-,-,-,-,-,^,"0,4","0,4","0,6","0,6","0,5","0,5","0,5","0,6","0,6","0,7","0,7","0,7","--2,7%","4,4%",♦
,-,-,-,-,-,-,-,-,^,^,^,"0,1","0,2","0,2","0,3","0,3","0,3","0,3","0,3","0,3","0,4","0,5","0,5","18,4%","12,7%",♦
,^,^,^,^,"0,1",^,"0,1","0,5","2,6","6,1","7,1","8,7","12,0","13,1","13,7","13,9","13,6","14,3","12,7","15,1","20,7","27,1","33,8","24,6%","10,9%","2,6%"
,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,"0,1","0,1","0,2","0,4","0,7","1,0","1,5","2,6","74,6%","63,7%","0,2%"
,^,^,^,^,^,^,^,^,^,"0,1","0,1","0,2","0,3","0,5","0,8","1,1","1,3","1,7","1,9","2,2","2,6","2,8","3,7","31,2%","28,7%","0,3%"
,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,"0,2","1,0","2,9","7,8","9,2","11,0","13,9","15,9","14,1%","127,6%","1,2%"
,-,-,-,-,-,-,-,-,-,-,-,^,"0,3","0,6","0,4","0,5","0,5","0,7","1,1","2,9","5,4","6,3","5,1","--19,6%","31,3%","0,4%"
,^,^,^,^,^,^,^,^,^,^,^,"0,2","1,4","2,0","4,1","7,5","10,4","11,5","12,7","12,4","12,9","12,1","13,9","14,7%","26,2%","1,1%"
,^,^,^,^,^,^,^,^,^,^,^,^,^,"0,1","0,1","0,1","0,2","0,2","0,3","0,3","0,4","0,4","0,5","15,9%","31,5%",♦
,"0,1","0,2","0,3","0,5","0,8","1,5","2,6","3,9","7,6","14,3","23,5","47,2","72,2","86,5","98,2","109,1","113,3","123,6","137,1","151,2","176,5","198,7","246,4","24,0%","13,1%","18,6%"
,,,,,,,,,,,,,,,,,,,,,,,,,,
,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,"0,1","0,1","10,3%",-,♦
