index,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2022,2012-22,2022
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"0,3","0,3","0,4","0,7","0,9","1,6","2,5","3,0","3,8","6,6","8,7","10,2","11,3","11,1","12,8","27,0","30,9","31,5","33,5","32,9","35,8","34,8","37,5","8,0%","12,7%","1,8%"
,^,^,^,^,^,^,^,"0,2","0,3","0,6","1,2","1,6","3,7","4,2","6,4","8,7","10,4","10,6","12,4","16,7","19,7","21,1","20,3","--3,6%","18,6%","1,0%"
,"5,6","6,8","10,5","11,3","14,3","18,0","26,9","34,8","55,9","74,6","95,6","121,4","142,2","169,5","183,5","192,6","229,3","256,9","275,4","298,9","341,4","382,0","439,2","15,0%","11,9%","20,9%"
,"5,9","7,2","10,9","12,0","15,3","19,6","29,4","38,1","60,0","81,9","105,6","133,2","157,2","184,9","202,7","228,4","270,6","299,0","321,3","348,5","396,8","437,8","497,0","13,5%","12,2%","23,6%"
,,,,,,,,,,,,,,,,,,,,,,,,,,
,^,^,"0,1","0,1","0,1","0,1","0,1","0,1",^,^,^,^,"0,4","0,5","0,6","0,6","0,5","0,6","1,4","5,0","9,4","12,9","14,2","9,5%","44,0%","0,7%"
,^,^,"0,1","0,1","0,1","0,1","0,2","0,7","1,2","1,2","2,2","2,7","5,1","6,6","12,2","21,6","33,5","42,4","48,5","56,0","57,1","72,3","81,6","12,9%","32,1%","3,9%"
,-,^,^,^,^,^,^,^,^,"0,1","0,3","0,3","0,4","0,5","1,4","2,1","2,5","3,6","3,6","4,9","5,6","7,6","9,4","22,8%","36,8%","0,4%"
,-,-,-,-,"0,1",^,"0,1",^,"0,1","0,1",^,^,"0,1","0,1","0,1","0,1","0,1",^,^,"0,1",^,"0,1","0,1","23,8%","3,2%",♦
,-,-,-,-,-,-,-,^,^,^,^,^,^,"0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","--2,3%","38,1%",♦
,^,^,^,^,^,^,^,^,^,^,^,^,^,^,"0,3","0,6","1,1","1,1","1,5","1,7","1,8","1,8","1,9","6,0%","109,3%","0,1%"
,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,♦,-,♦
,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,1","0,1","0,1","0,1","0,1",^,"0,1",^,^,^,♦,-,♦
,"0,2","0,2","0,3","0,2","0,3","0,2","0,3","0,2","0,2","0,4","0,5","0,7","1,1","1,3","2,1","3,1","3,3","3,2","4,4","4,4","3,6","4,0","3,6","--8,5%","12,4%","0,2%"
,^,^,"0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,2","0,3","0,4","0,5","0,9","1,0","1,1","1,1","1,2","1,4","1,8","2,2","2,3","2,2","--3,1%","15,4%","0,1%"
,^,^,^,^,^,^,^,^,^,^,"0,1","0,1","0,1","0,2","0,7","2,1","3,0","3,8","4,8","4,8","5,5","5,1","5,2","2,2%","45,9%","0,2%"
,"0,3","0,3","0,5","0,4","0,5","0,5","0,8","1,2","1,7","2,1","3,4","4,3","7,7","10,2","18,6","31,5","45,2","56,2","65,7","78,8","85,3","106,2","118,4","11,4%","31,5%","5,6%"
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"0,1","0,2","0,2","0,4","0,9","1,3","1,8","2,0","2,0","2,0","2,1","1,9","2,5","3,2","3,8","4,8","5,2","6,6","6,0","7,5","6,8","6,7","7,2","7,5%","11,4%","0,3%"
,^,^,"0,1","0,1","0,1","0,2","0,4","0,5","0,6","1,0","1,3","2,3","2,8","3,7","4,6","5,6","5,4","6,5","7,6","9,8","12,8","12,0","11,9","--0,8%","15,7%","0,6%"
,-,-,-,-,^,^,^,^,"0,1","0,2","0,7","0,9","1,2","1,4","1,3","1,5","1,4","1,5","1,3","1,3","1,5","1,4","1,5","4,5%","2,1%","0,1%"
,-,-,-,-,^,^,^,^,^,"0,1","0,1","0,2","0,3","0,5","0,7","0,8","1,0","1,2","1,3","1,5","1,7","2,1","2,3","11,5%","21,5%","0,1%"
,-,-,-,-,^,^,^,^,^,^,^,"0,1","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","--9,0%","1,9%",♦
,-,^,^,^,^,^,^,"0,1","0,2","0,3","0,3","0,4","0,4","0,5","0,5","0,6","0,5","0,6","0,6","0,7","0,7","0,6","0,6","6,6%","4,4%",♦
,"4,2","4,3","4,9","5,6","6,6","6,6","6,1","7,2","6,9","6,7","7,8","9,8","10,3","11,1","13,1","14,1","12,8","14,8","13,9","16,1","16,3","16,1","19,0","18,4%","6,3%","0,9%"
,-,-,^,^,^,"0,1","0,1","0,1","0,1","0,2","0,3","0,4","0,4","0,5","0,6","0,7","0,6","0,7","0,6","0,7","0,8","0,7","0,7","--9,8%","4,3%",♦
